SolutionNum,Move1,Move2,Move3,Move4,Move5,Move6,Move7,Move8,Move9,Move10,Move11,Move12,Move13
1,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(13, 6)","(2, 9)","(3, 10)","(15, 6)","(6, 13)","(14, 12)","(11, 13)"
2,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(13, 6)","(3, 10)","(2, 9)","(15, 6)","(6, 13)","(14, 12)","(11, 13)"
3,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(13, 6)","(3, 10)","(15, 6)","(2, 9)","(6, 13)","(14, 12)","(11, 13)"
4,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(2, 9)","(3, 10)","(15, 6)","(6, 13)"
5,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(2, 9)","(15, 6)","(6, 13)"
6,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(15, 6)","(2, 9)","(6, 13)"
7,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(15, 6)","(6, 4)","(2, 7)"
8,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(12, 5)","(14, 12)","(11, 13)","(13, 6)","(3, 10)","(15, 6)","(6, 4)","(4, 1)"
9,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(11, 4)","(14, 5)","(3, 8)","(4, 13)","(12, 14)","(15, 13)"
10,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(11, 4)","(15, 13)","(12, 14)","(14, 5)","(3, 8)","(4, 13)"
11,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(11, 4)","(15, 13)","(12, 14)","(14, 5)","(4, 6)","(3, 10)"
12,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(11, 4)","(15, 13)","(12, 14)","(14, 5)","(4, 6)","(6, 1)"
13,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(14, 5)","(3, 8)","(11, 4)","(4, 13)","(12, 14)","(15, 13)"
14,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(14, 5)","(11, 4)","(3, 8)","(4, 13)","(12, 14)","(15, 13)"
15,"(4, 1)","(6, 4)","(1, 6)","(7, 2)","(10, 3)","(13, 4)","(2, 7)","(15, 13)","(11, 4)","(12, 14)","(14, 5)","(3, 8)","(4, 13)"
